y,x0,x1,x2,x3,x4,x5,x6
18.9,A1,,170.0,90.0,12,A1,A0
3.3,A4,A1,78.0,150.0,1,A1,A1
2.0,A5,A2,177.0,150.0,3,A1,A1
3.999,A3,A1,97.0,150.0,11,A2,A1
19.5,A2,A1,95.0,125.0,9,A2,A1
3.5,A7,A1,150.0,5.0,6,A1,A2
0.15,A0,A1,120.0,100.0,0,A0,A0
6.0,A6,A1,141.0,125.0,5,A2,A1
1.799,A3,A1,60.0,150.0,2,A2,A1
0.3,A3,A0,60.0,150.0,12,A2,A1
19.85,A1,A2,292.0,70.0,2,,A1
1.5,A0,A0,2.0,150.0,5,A1,A0
8.999,A4,A1,116.0,150.0,10,A1,A0
22.0,A1,A2,235.0,150.0,4,A1,A1
6.999,A3,A1,60.0,20.0,5,A2,A1
5.5,A7,A1,225.0,150.0,6,,A1
6.5,A7,A2,150.0,150.0,3,A2,A0
25.9,A1,A1,143.0,40.0,6,,A1
5.5,A5,A1,230.0,150.0,11,A2,A0
0.6,A3,A1,54.0,150.0,5,A2,A1
0.5,A1,A1,90.0,150.0,7,,A1
2.5,A1,A1,105.0,150.0,7,A1,A1
2.4,A1,A1,150.0,150.0,4,A2,A0
0.35,A3,A2,,150.0,6,A2,A0
0.6,A3,A1,58.0,150.0,12,A2,A0
14.99,A5,A2,122.0,20.0,12,A2,A1
2.19,A3,A1,80.0,150.0,8,A2,A1
0.98,A0,A1,54.0,150.0,0,A2,A0
2.299,A0,A2,170.0,150.0,2,A2,A0
6.499,A5,A1,140.0,150.0,6,A1,A1
4.5,A2,A2,0.0,150.0,5,A2,A1
1.25,A3,A2,54.0,20.0,3,A2,A1
2.5,A5,A1,143.0,150.0,9,A1,A0
3.4,A5,A1,116.0,150.0,5,A2,A1
5.9,A0,A1,140.0,150.0,0,,A0
7.0,A1,A1,104.0,150.0,3,A1,A1
2.349,A5,A1,115.0,150.0,3,A2,A1
3.95,A5,A2,95.0,125.0,10,A2,A1
2.0,A8,A1,194.0,150.0,11,A1,A0
12.0,A4,A1,105.0,125.0,5,,A1
2.6,A3,A1,68.0,125.0,3,,A1
1.4,A1,A1,0.0,150.0,0,A2,A0
3.0,A1,A0,0.0,150.0,0,A1,A0
0.898,A0,A1,88.0,150.0,8,A0,A1
0.999,A3,A1,50.0,150.0,6,,A0
31.9,A5,A2,313.0,100.0,7,,A1
1.5,A5,A1,131.0,150.0,8,A1,A1
6.6,A1,A1,150.0,125.0,5,A2,A1
0.555,A1,A2,115.0,150.0,0,A2,A0
3.339,A5,A1,101.0,150.0,10,A1,A2
3.6,A5,A1,155.0,150.0,4,,A1
23.5,A5,A1,177.0,80.0,4,A1,A1
3.8,A3,A1,0.0,125.0,11,A1,A1
14.85,A1,,211.0,80.0,2,A2,A1
1.299,A7,A1,75.0,150.0,9,A2,A1
0.2,A3,A1,30.0,150.0,9,,A1
3.999,A0,A1,131.0,150.0,11,,A0
0.45,A1,A1,130.0,150.0,9,A2,A1
0.04,A0,A0,0.0,150.0,0,A0,A0
2.95,A3,A1,65.0,125.0,4,,A2
0.0,A1,A1,0.0,150.0,3,A3,A2
4.15,A1,A1,143.0,150.0,10,A1,A2
0.595,A5,A1,116.0,150.0,1,,A0
32.9,A1,A2,177.0,40.0,3,,A1
1.15,A3,A1,58.0,150.0,6,A2,A1
3.0,A1,A0,,150.0,6,A1,A0
4.0,A7,A1,116.0,150.0,1,A2,A1
0.2,A3,A1,0.0,125.0,1,A2,A0
16.8,A5,A1,140.0,90.0,10,A1,A1
13.0,A1,A1,,80.0,9,A1,A1
5.0,A5,A1,200.0,150.0,1,,A1
0.8,A4,A2,138.0,150.0,5,A3,A1
2.7,A1,A1,193.0,150.0,5,,A1
2.999,A1,A1,116.0,150.0,7,A2,A2
2.999,A3,A1,75.0,150.0,3,A2,A1
6.35,A5,A1,140.0,150.0,11,A1,A2
1.0,A3,A1,60.0,60.0,6,,A1
15.5,A7,A2,211.0,100.0,10,A2,A1
13.9,A1,A1,105.0,50.0,4,,A1
6.75,A1,A1,200.0,150.0,2,A2,A1
5.0,A3,A1,101.0,150.0,9,,A1
1.95,A0,A0,0.0,150.0,3,A2,A1
0.99,A7,A1,139.0,150.0,4,,A1
1.39,A1,A1,90.0,150.0,10,A2,A1
1.28,A7,A1,116.0,150.0,10,A2,A0
0.25,A3,A1,80.0,150.0,0,A2,A2
6.499,A4,A1,,150.0,6,A1,A0
9.25,A2,A1,125.0,100.0,10,A2,A1
0.6,A3,A1,60.0,150.0,0,A2,A0
2.999,A3,A2,0.0,125.0,0,A0,A0
5.0,A0,A1,180.0,30.0,0,,A2
0.6,A1,A1,98.0,150.0,0,A2,A1
2.29,A2,A1,90.0,150.0,12,A2,A1
2.0,A0,A0,101.0,150.0,0,A1,A1
11.95,A2,A1,163.0,150.0,9,A2,A1
0.7,A7,A1,102.0,150.0,6,A2,A1
0.5,A3,A1,54.0,125.0,11,A2,A0
2.9,A7,A1,139.0,150.0,1,,A0
27.8,A1,A2,245.0,150.0,4,A1,A1
20.0,A1,A1,0.0,5.0,3,A2,A0
18.99,A1,A1,131.0,60.0,7,A1,A1
0.8,A3,A1,107.0,150.0,3,A2,A1
0.6,A3,A1,0.0,150.0,8,A0,A1
0.8,A4,A1,0.0,125.0,9,A2,A1
5.555,A0,A1,180.0,125.0,4,A2,A0
2.5,A2,A2,,70.0,0,A2,A2
1.4,A3,A1,60.0,100.0,3,A2,A2
6.48,A1,A1,26.0,20.0,1,,A1
6.5,A1,A1,150.0,100.0,3,,A1
19.75,A6,,129.0,20.0,3,,A1
6.75,A6,A2,163.0,150.0,9,A1,A1
2.1,A3,A1,54.0,150.0,6,A2,A0
1.25,A0,A1,101.0,150.0,12,A0,A0
4.1,A5,A2,150.0,150.0,9,,A1
6.7,A3,A1,105.0,150.0,4,A1,A1
4.199,A1,A1,143.0,150.0,4,,A1
0.0,A0,A1,150.0,150.0,2,A2,A2
0.05,A0,A1,0.0,150.0,3,A2,A0
6.5,A1,A1,80.0,80.0,11,A2,A1
19.9,A4,A1,140.0,90.0,3,,A1
7.89,A3,A1,70.0,80.0,10,A1,A1
4.5,A6,A1,174.0,150.0,12,A1,A2
9.99,A2,A1,192.0,100.0,3,,A0
3.3,A5,A1,113.0,125.0,9,A2,A2
0.0,A3,A1,45.0,150.0,0,A2,A2
22.3,A1,A1,184.0,80.0,5,,A1
0.45,A0,A0,0.0,150.0,0,A2,A0
17.0,A2,A1,420.0,150.0,5,A2,A0
12.499,A1,A1,260.0,20.0,12,A2,A1
3.35,A3,A1,75.0,150.0,5,,A1
0.3,A2,A1,105.0,150.0,0,,A2
2.8,A4,A1,115.0,150.0,2,,A1
11.0,A1,A2,,150.0,8,A1,A1
6.499,A5,,200.0,150.0,12,A2,A1
2.5,A0,A1,75.0,150.0,0,A0,A1
12.5,A0,A0,139.0,150.0,0,A2,A1
0.999,A3,A1,0.0,150.0,11,A2,A1
1.19,A3,A0,0.0,150.0,3,,A1
17.5,A4,A2,140.0,70.0,11,A1,A1
23.0,A6,A2,286.0,150.0,10,A0,A1
4.6,A3,A1,68.0,20.0,11,A2,A1
5.78,A1,A1,140.0,150.0,1,A1,A1
3.0,A1,A1,136.0,150.0,11,A1,A2
6.4,A1,A2,306.0,150.0,5,,A1
0.7,A3,A1,54.0,125.0,9,A2,A1
1.7,A3,A1,75.0,150.0,11,A2,A1
2.1,A3,A1,101.0,125.0,9,A2,A0
1.0,A0,A0,0.0,150.0,0,A0,A0
4.999,A4,A1,105.0,150.0,12,A1,A1
1.299,A0,A1,0.0,150.0,7,A2,A1
1.85,A8,A1,101.0,150.0,6,A2,A0
7.8,A5,A1,,150.0,9,A2,A0
2.35,A1,A1,112.0,150.0,3,,A1
12.5,A7,A1,177.0,150.0,2,A1,A1
1.8,A8,A1,,60.0,10,A0,A2
7.85,A3,A1,75.0,30.0,6,,A1
6.3,A3,A1,76.0,50.0,6,A0,A1
0.0,A7,A2,163.0,150.0,3,,A0
2.65,A5,A2,163.0,150.0,12,A1,A1
24.49,A2,,272.0,40.0,8,A2,A1
1.9,A1,A1,150.0,150.0,0,A2,A2
5.4,A5,A1,104.0,150.0,4,A0,A1
0.5,A3,A1,0.0,150.0,0,A1,A2
8.0,A2,A2,170.0,150.0,9,A2,A0
33.0,A7,A1,317.0,10.0,10,A2,A1
2.599,A5,A2,,150.0,8,,A2
9.555,A6,A1,141.0,125.0,10,,A1
0.99,A1,A2,118.0,150.0,7,A2,A2
11.999,A1,A2,286.0,150.0,7,,A0
0.95,A5,A1,150.0,150.0,7,A2,A1
0.0,A1,A2,116.0,150.0,6,A2,A1
11.9,A1,A1,122.0,40.0,11,A2,A1
0.15,A3,A1,54.0,150.0,8,,A0
1.8,A1,A1,75.0,90.0,4,A2,A1
4.999,A3,A1,90.0,80.0,0,,A1
9.999,A7,A2,245.0,150.0,3,A2,A1
4.999,A1,A2,,150.0,12,A1,A1
2.95,A4,A2,125.0,150.0,6,,A1
10.45,A1,A1,145.0,70.0,9,A2,A0
2.35,A0,A1,0.0,125.0,3,A2,A1
1.75,A3,A1,0.0,150.0,2,,A1
9.0,A5,A0,140.0,150.0,0,A1,A0
0.999,A1,A2,,150.0,8,A2,A1
1.68,A6,,0.0,150.0,7,,A2
0.499,A1,A1,133.0,125.0,4,A2,A1
1.65,A5,A1,131.0,150.0,2,A1,A1
0.0,A0,A1,105.0,150.0,2,A2,A0
1.2,A1,A1,150.0,150.0,1,A2,A1
17.5,A1,A1,129.0,150.0,6,A2,A1
7.99,A5,A1,170.0,150.0,1,A1,A1
1.0,A0,A1,101.0,150.0,3,,A2
19.9,A5,A2,184.0,80.0,10,A1,A1
0.0,A0,A1,,150.0,0,A2,A2
2.6,A1,A1,105.0,150.0,4,,A1
12.5,A2,A1,143.0,125.0,4,A2,A1
1.6,A2,A1,75.0,150.0,4,A2,A1
0.001,A4,A2,140.0,150.0,5,A1,A2
1.49,A1,A2,276.0,150.0,2,A2,A2
6.0,A5,A1,0.0,90.0,0,A0,A1
0.45,A5,A1,90.0,150.0,8,A1,A2
3.5,A5,A1,170.0,150.0,7,,A1
9.15,A3,A1,69.0,100.0,1,A2,A1
7.9,A3,A1,69.0,20.0,11,,A1
6.0,A5,A1,105.0,150.0,6,,A1
0.0,A1,A1,,150.0,6,A2,A1
17.999,A7,A2,235.0,100.0,6,,A1
0.699,A6,A2,140.0,150.0,3,A3,A2
24.5,A1,A1,208.0,40.0,10,A1,A1
0.35,A0,A0,0.0,5.0,0,A0,A0
4.0,A0,A1,75.0,150.0,3,A2,A1
7.99,A2,A1,140.0,80.0,2,,A1
1.95,A3,A1,60.0,60.0,8,,A1
9.5,A1,A1,60.0,5.0,9,A2,A1
1.85,A1,A1,150.0,150.0,3,A2,A1
1.6,A3,A1,75.0,100.0,8,A2,A1
2.5,A3,A1,70.0,125.0,0,A0,A1
10.5,A5,A1,143.0,150.0,7,A1,A1
0.75,A3,A1,58.0,100.0,9,A2,A2
9.99,A1,A2,218.0,125.0,8,,A1
0.6,A5,A2,,150.0,12,A2,A2
0.6,A1,A1,90.0,150.0,12,A1,A1
14.2,A1,A0,163.0,80.0,6,A1,A0
5.6,A1,A1,170.0,150.0,6,,A1
0.85,A5,A1,99.0,150.0,4,A2,A1
3.8,A4,A1,125.0,150.0,7,A2,A1
0.5,A0,,50.0,150.0,11,A2,A0
2.5,A4,A1,65.0,150.0,12,,A1
4.6,A2,A1,109.0,60.0,5,A2,A1
4.5,A4,A1,,150.0,10,,A1
0.999,A3,A0,0.0,150.0,7,A1,A1
1.555,A1,A1,90.0,125.0,4,,A1
0.8,A3,A1,60.0,150.0,11,A2,A1
7.2,A1,A2,140.0,150.0,9,A1,A1
0.7,A3,A2,,150.0,11,,A1
4.0,A3,A1,65.0,80.0,11,A2,A1
3.5,A1,A2,143.0,150.0,4,A1,A1
13.7,A1,A1,0.0,150.0,10,,A0
2.79,A5,A1,105.0,150.0,8,A2,A1
2.1,A4,A1,,150.0,10,A2,A2
3.99,A3,A1,80.0,60.0,5,A2,A1
0.45,A0,A1,116.0,150.0,0,,A0
0.0,A0,A1,90.0,150.0,5,A0,A0
7.999,A8,A1,102.0,150.0,11,A1,A1
3.3,A3,A1,60.0,80.0,8,A2,A1
1.29,A2,A1,102.0,150.0,9,A0,A1
9.9,A3,A1,87.0,40.0,3,A2,A1
1.75,A1,A2,150.0,150.0,7,A2,A1
2.25,A3,A2,136.0,150.0,3,A2,A1
0.75,A8,A1,0.0,5.0,1,,A1
3.0,A0,A0,0.0,150.0,8,,A0
1.999,A1,A1,0.0,150.0,1,A2,A1
3.2,A3,A1,140.0,150.0,9,A1,A1
7.1,A1,A2,177.0,150.0,9,A1,A1
9.95,A5,A1,109.0,40.0,1,A2,A1
4.75,A0,A1,0.0,150.0,12,A1,A1
0.0,A0,A1,58.0,100.0,9,A0,A0
4.98,A5,A1,200.0,150.0,7,A0,A2
1.599,A5,A1,116.0,150.0,4,A2,A1
0.699,A3,A1,48.0,150.0,3,A2,A1
0.3,A3,A1,40.0,150.0,0,A2,A0
1.199,A3,A1,60.0,150.0,6,A2,A2
2.3,A1,A1,122.0,125.0,6,,A0
3.75,A0,A1,115.0,5.0,8,A1,A0
2.65,A4,A1,128.0,150.0,2,A1,A1
4.499,A4,A1,116.0,150.0,7,,A1
21.5,A2,A2,0.0,150.0,8,A2,A1
0.45,A3,A1,54.0,150.0,9,A2,A1
9.999,A5,A1,140.0,150.0,8,A1,A0
2.555,A4,A1,204.0,150.0,12,,A1
1.6,A3,A1,0.0,125.0,11,A2,A0
0.43,A3,A1,45.0,150.0,11,,A0
0.45,A1,A1,116.0,150.0,4,A2,A2
1.7,A7,A1,101.0,150.0,8,A0,A1
5.8,A3,A1,75.0,70.0,11,,A1
1.49,A3,A1,,100.0,8,A2,A1
1.5,A1,A1,207.0,150.0,8,A2,A2
0.95,A3,A0,0.0,125.0,10,A2,A1
1.5,A1,A1,90.0,150.0,4,A1,A1
0.8,A3,A1,60.0,150.0,0,A2,A0
2.499,A3,A1,75.0,150.0,2,A2,A1
0.2,A0,A1,10.0,150.0,2,A2,A1
1.5,A3,A2,75.0,150.0,11,A2,A1
2.86,A3,A1,60.0,80.0,10,A2,A1
0.65,A0,A1,0.0,150.0,12,A2,A1
1.9,A3,A1,180.0,150.0,11,,A1
1.4,A1,A1,75.0,150.0,8,A0,A1
0.85,A0,A0,,100.0,0,A2,A0
3.2,A1,A2,165.0,150.0,3,,A0
0.999,A1,A1,107.0,150.0,2,A2,A1
5.3,A0,A1,209.0,150.0,0,,A0
12.5,A6,A1,190.0,100.0,11,,A1
1.45,A7,A1,102.0,150.0,8,A2,A1
6.5,A5,A2,170.0,125.0,10,A1,A1
8.99,A2,A2,279.0,100.0,2,A2,A1
5.55,A2,A1,110.0,150.0,5,A2,A1
8.0,A5,A2,170.0,150.0,10,A1,A1
0.85,A1,A1,75.0,150.0,1,A2,A1
1.5,A1,A1,0.0,150.0,7,A2,A1
1.3,A5,A2,163.0,150.0,11,A1,A2
0.75,A1,A2,90.0,150.0,10,A2,A1
31.9,A1,A2,177.0,30.0,8,A1,A1
1.1,A3,A1,60.0,150.0,0,A2,A2
0.2,A8,A1,90.0,150.0,7,,A0
1.5,A1,A1,116.0,150.0,2,A2,A1
0.35,A1,A2,80.0,150.0,3,A2,A0
9.5,A1,A1,75.0,30.0,5,A2,A1
0.95,A0,A0,0.0,150.0,0,,A0
11.2,A6,A2,250.0,125.0,12,A1,A1
8.5,A2,A1,90.0,125.0,4,A2,A1
3.699,A3,A1,110.0,150.0,3,A2,A1
1.89,A5,A1,116.0,150.0,7,A1,A1
1.55,A0,A1,115.0,150.0,3,A0,A1
0.0,A1,A1,205.0,150.0,0,A0,A1
0.45,A3,A1,60.0,125.0,11,A2,A2
